"Order","Ordinal","Label","Question Text","Datatype","Format","Mapping","Completion","Note","Terminology"
"1","1","","","","","","","",""
"2","1","Mapping 1","","","","QSCAT=""DISABILITY ASSESSMENT FOR DEMENTIA (DAD)""","","",""
"3","2","","","","","","","",""
"4","1","INFORMATION NOT OBTAINED","INFORMATION NOT OBTAINED","boolean","","NOT SUBMITTED","","",""
"5","2","Clinician's initials","Clinician's initials","string","3","NOT SUBMITTED","First/Middle/Last","",""
"6","3","HYGIENE","","","","","","",""
"7","1","Mapping 2","","","","QSSCAT='HYGIENE""","","",""
"8","2","1. Undertake to wash himself/herself or to take a bath or a shower","","","","","","",""
"9","1","Mapping 2","","","","QSTESTCD=""DAITM01""","","",""
"10","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"11","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"12","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"13","3","2. Undertake to brush his/her teeth or care for his/her dentures","","","","","","",""
"14","1","Mapping 1","","","","QSTESTCD=""DAITM02""","","",""
"15","2","Initiation","Initiation","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"16","3","Planning & Organization","Planning & Organization","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"17","4","Effective Performance","Effective Performance","string","20","QSORRES","","","Y C49488 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); NA C48660 (NY C66742 v56.0.0)"
"18","4","3. Decide to care for his/her hair (wash and comb)","","","","","","",""
"19","1","Mapping 1","","","","QSTESTCD=""DAITM03""","","",""
"20","2","Initiation","Initiation","string","20","QSORRES","","","NA C48660 (NY C66742 v56.0.0); N C49487 (NY C66742 v56.0.0); Y C49488 (NY C66742 v56.0.0)"
