"Ordinal","Name","Label","Datatype","Format","CT and Format","CT","Role","Description","Core"
"1","STUDYID","Study Identifier","Character","","","","Identifier","Unique identifier for a study.","Required"
"2","DOMAIN","Domain Abbreviation","Character","","(DOMAIN)","DOMAIN C66734 v8.0.0","Identifier","Two-character abbreviation for the domain.","Required"
"3","USUBJID","Unique Subject Identifier","Character","","","","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Required"
"4","AESEQ","Sequence Number","Numeric","","","","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Required"
"5","AEGRPID","Group ID","Character","","","","Identifier","Used to tie together a block of related records in a single domain for a subject.","Permissible"
"6","AEREFID","Reference ID","Character","","","","Identifier","Internal or external identifier such as a serial number on an SAE reporting form","Permissible"
"7","AESPID","Sponsor-Defined Identifier","Character","","","","Identifier","Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events page.","Permissible"
"8","AETERM","Reported Term for the Adverse Event","Character","","","","Topic","Verbatim name of the event.","Required"
"9","AEMODIFY","Modified Reported Term","Character","","","","None","If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text.","Permissible"
"10","AELLT","Lowest Level Term","Character","MedDRA","MedDRA","","None","Dictionary-derived text description of the Lowest Level Term.","Expected"
"11","AELLTCD","Lowest Level Term Code","Numeric","MedDRA","MedDRA","","None","Dictionary-derived code for the Lowest Level Term.","Expected"
"12","AEDECOD","Dictionary-Derived Term","Character","","","","None","Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes","Required"
"13","AEPTCD","Preferred Term Code","Numeric","MedDRA","MedDRA","","None","Dictionary-derived code for the Preferred Term.","Expected"
"14","AEHLT","High Level Term","Character","MedDRA","MedDRA","","None","Dictionary-derived text description of the High Level Term for the primary System Organ Class.","Expected"
"15","AEHLTCD","High Level Term Code","Numeric","MedDRA","MedDRA","","None","Dictionary-derived code for the High Level Term for the primary System Organ Class.","Expected"
"16","AEHLGT","High Level Group Term","Character","MedDRA","MedDRA","","None","Dictionary-derived text description of the High Level Group Term for the primary System Organ Class.","Expected"
"17","AEHLGTCD","High Level Group Term Code","Numeric","MedDRA","MedDRA","","None","Dictionary-derived code for the High Level Group Term for the primary System Organ Class.","Expected"
"18","AECAT","Category for Adverse Event","Character","","","","Grouping","Used to define a category of related records. Example: BLEEDING, NEUROPSYCHIATRIC.","Permissible"
"19","AESCAT","Subcategory for Adverse Event","Character","","","","Grouping","A further categorization of adverse event. Example: NEUROLOGIC.","Permissible"
