CODELIST_LONG_NAME,CODELIST_SHORT_NAME,CODELIST_CODE,CODE
FT-6 Minute Walk Functional Test Test Name,6MWT TEST,C115387,C115800
FT-6 Minute Walk Functional Test Test Name,6MWT TEST,C115387,C115801
FT-6 Minute Walk Functional Test Test Name,6MWT TEST,C115387,C115802
FT-6 Minute Walk Functional Test Test Name,6MWT TEST,C115387,C115803
FT-6 Minute Walk Functional Test Test Name,6MWT TEST,C115387,C115804
FT-6 Minute Walk Functional Test Test Name,6MWT TEST,C115387,C115805
FT-6 Minute Walk Functional Test Test Code,6MWT TESTCD,C115388,C115800
FT-6 Minute Walk Functional Test Test Code,6MWT TESTCD,C115388,C115801
FT-6 Minute Walk Functional Test Test Code,6MWT TESTCD,C115388,C115802
FT-6 Minute Walk Functional Test Test Code,6MWT TESTCD,C115388,C115803
FT-6 Minute Walk Functional Test Test Code,6MWT TESTCD,C115388,C115804
FT-6 Minute Walk Functional Test Test Code,6MWT TESTCD,C115388,C115805
Subcategory of Antibodies,ABSCAT,SN000116,S003908
Subcategory of Antibodies,ABSCAT,SN000116,S003909
Subcategory of Antibodies,ABSCAT,SN000116,S006884
Antibody Test Name,ABTEST,SN000003,S000013
Antibody Test Name,ABTEST,SN000003,S000014
Antibody Test Name,ABTEST,SN000003,S000015
Antibody Test Name,ABTEST,SN000003,S000016
Antibody Test Name,ABTEST,SN000003,S000017
Antibody Test Name,ABTEST,SN000003,S000018
Antibody Test Name,ABTEST,SN000003,S000019
Antibody Test Name,ABTEST,SN000003,S000020
Antibody Test Name,ABTEST,SN000003,S000021
Antibody Test Name,ABTEST,SN000003,S000022
Antibody Test Name,ABTEST,SN000003,S000023
Antibody Test Name,ABTEST,SN000003,S000024
Antibody Test Name,ABTEST,SN000003,S000025
Antibody Test Name,ABTEST,SN000003,S000026
Antibody Test Name,ABTEST,SN000003,S000027
Antibody Test Name,ABTEST,SN000003,S000028
Antibody Test Name,ABTEST,SN000003,S000119
Antibody Test Name,ABTEST,SN000003,S000121
Antibody Test Name,ABTEST,SN000003,S004098
Antibody Test Name,ABTEST,SN000003,S004101
Antibody Test Name,ABTEST,SN000003,S004223
Antibody Test Name,ABTEST,SN000003,S004224
Antibody Test Name,ABTEST,SN000003,S004324
Antibody Test Name,ABTEST,SN000003,S004325
Antibody Test Name,ABTEST,SN000003,S004335
Antibody Test Name,ABTEST,SN000003,S005228
Antibody Test Name,ABTEST,SN000003,S005229
Antibody Test Name,ABTEST,SN000003,S005230
Antibody Test Name,ABTEST,SN000003,S005231
Antibody Test Name,ABTEST,SN000003,S005234
Antibody Test Name,ABTEST,SN000003,S006892
Antibody Test Name,ABTEST,SN000003,S006893
Antibody Test Name,ABTEST,SN000003,S006895
Antibody Test Name,ABTEST,SN000003,S006896
