CODELIST_LONG_NAME,CODELIST_SHORT_NAME,CODELIST_CODE,CODE
Ability to Perform Physical Activities of Daily Living Questionnaire Results,APPADLR,SN000028,S000199
Ability to Perform Physical Activities of Daily Living Questionnaire Results,APPADLR,SN000028,S001104
Ability to Perform Physical Activities of Daily Living Questionnaire Results,APPADLR,SN000028,S001105
Ability to Perform Physical Activities of Daily Living Questionnaire Results,APPADLR,SN000028,S001106
Ability to Perform Physical Activities of Daily Living Questionnaire Results,APPADLR,SN000028,S001107
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001161
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001162
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001163
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001164
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001165
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001166
Ability to Perform Physical Activities of Daily Living Questionnaire Test Code,APPADLTC,SN000029,S001167
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001161
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001162
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001163
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001164
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001165
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001166
Ability to Perform Physical Activities of Daily Living Questionnaire Test Name,APPADLTN,SN000030,S001167
Actigraphy Test Code,ACTIGTC,SN001070,S010937
Actigraphy Test Code,ACTIGTC,SN001070,S010938
Actigraphy Test Code,ACTIGTC,SN001070,S010939
Actigraphy Test Code,ACTIGTC,SN001070,S010940
Actigraphy Test Code,ACTIGTC,SN001070,S010941
Actigraphy Test Code,ACTIGTC,SN001070,S010942
Actigraphy Test Code,ACTIGTC,SN001070,S010943
Actigraphy Test Code,ACTIGTC,SN001070,S010944
Actigraphy Test Code,ACTIGTC,SN001070,S010945
Actigraphy Test Name,ACTIGTN,SN001069,S010937
Actigraphy Test Name,ACTIGTN,SN001069,S010938
Actigraphy Test Name,ACTIGTN,SN001069,S010939
Actigraphy Test Name,ACTIGTN,SN001069,S010940
Actigraphy Test Name,ACTIGTN,SN001069,S010941
Actigraphy Test Name,ACTIGTN,SN001069,S010942
Actigraphy Test Name,ACTIGTN,SN001069,S010943
Actigraphy Test Name,ACTIGTN,SN001069,S010944
Actigraphy Test Name,ACTIGTN,SN001069,S010945
Action Taken with Study Treatment,ACN,C66767,C17998
Action Taken with Study Treatment,ACN,C66767,C48660
Action Taken with Study Treatment,ACN,C66767,C49501
Action Taken with Study Treatment,ACN,C66767,C49502
Action Taken with Study Treatment,ACN,C66767,C49503
Action Taken with Study Treatment,ACN,C66767,C49504
Action Taken with Study Treatment,ACN,C66767,C49505
Action Taken with Study Treatment,ACN,C66767,SC78728
Action Taken with Study Treatment Collected,ACNC,SN000730,S000010
Action Taken with Study Treatment Collected,ACNC,SN000730,S000011
Action Taken with Study Treatment Collected,ACNC,SN000730,SC48660
Action Taken with Study Treatment Collected,ACNC,SN000730,SC49501
Action Taken with Study Treatment Collected,ACNC,SN000730,SC49502
Action Taken with Study Treatment Collected,ACNC,SN000730,SC49503
Action Taken with Study Treatment Collected,ACNC,SN000730,SC49504
Action Taken with Study Treatment Collected,ACNC,SN000730,SC49505
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000012
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000029
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000030
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000031
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000032
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000033
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000034
Action Taken with Study Treatment Numeric,ACNN,SN000005,S000035
